,bitcoin,ethereum,tether
2020-01-07 12:45:07.616,,,33736581434.044327
2020-01-07 13:02:42.590,,9483016360.332037,
2020-01-07 13:09:56.263,30844398263.510933,,
2020-01-07 13:44:17.190,,,33746828677.54253
2020-01-07 14:05:05.361,,9010132122.74429,
2020-01-07 14:10:24.311,30550695586.028805,,
2020-01-07 14:34:31.986,,,33538540111.828667
2020-01-07 15:02:46.389,30837345408.382946,,
2020-01-07 15:04:29.814,,9028167591.899761,
2020-01-07 15:49:17.451,,,33670301040.390793
2020-01-07 16:02:31.794,31028067169.642612,,
2020-01-07 16:02:41.059,,8487845263.530073,
2020-01-07 16:35:27.671,,,34265742307.303482
2020-01-07 17:00:55.058,32353872386.054546,,
2020-01-07 17:07:55.762,,8997552400.079926,
2020-01-07 17:32:13.301,,,34804667373.87179
2020-01-07 18:02:38.105,32772963971.415356,,
2020-01-07 18:05:12.604,,8888929140.791992,
2020-01-07 18:45:13.908,,,36478918845.36494
2020-01-07 19:00:42.570,34468794853.53579,,
2020-01-07 19:04:55.594,,9350660089.680378,
2020-01-07 19:45:46.354,,,38186617543.14352
2020-01-07 20:04:41.923,35604222849.23048,,
2020-01-07 20:04:54.952,,9959611984.009823,
2020-01-07 20:47:29.957,,,38569651490.517494
2020-01-07 21:02:38.656,35207779537.42695,,
2020-01-07 21:02:55.495,,9793411882.56673,
2020-01-07 21:39:41.110,,,38984618981.02712
2020-01-07 22:02:57.715,36304126147.72426,,
2020-01-07 22:04:25.562,,8599415741.204725,
2020-01-07 22:29:35.069,,,38701377191.71125
2020-01-07 23:04:45.968,35844350013.91672,,
2020-01-07 23:07:42.244,,9730795368.117256,
2020-01-07 23:40:22.671,,,38231594179.82648
2020-01-08 00:05:21.380,,9440938787.519835,
2020-01-08 00:09:50.171,36008908085.010445,,
2020-01-08 00:40:18.802,,,38941955513.36839
2020-01-08 01:07:35.359,37304148582.47205,,
2020-01-08 01:12:37.764,,10643353339.330744,
2020-01-08 01:47:27.915,,,39772194225.35925
2020-01-08 02:00:22.214,,9762124638.276281,
2020-01-08 02:04:21.266,37459663082.371605,,
2020-01-08 02:39:02.813,,,39947165428.1146
2020-01-08 03:09:54.669,37851116194.798706,,
2020-01-08 03:09:58.163,,11083648384.327707,
2020-01-08 03:40:42.970,,,40366256987.80312
2020-01-08 04:10:17.823,37062695002.626755,,
2020-01-08 04:12:05.471,,10417599313.862698,
2020-01-08 04:39:02.337,,,40537055979.10872
2020-01-08 05:05:30.125,38574913741.60956,,
2020-01-08 05:05:31.539,,10635465645.94174,
